Nama,Penelitian,Sitasi
AGUS HARYANTO,Current status of hydrogen production techniques by steam reforming of ethanol: a review,1175
AGUS HARYANTO,A thermodynamic analysis of hydrogen production by steam reforming of glycerol,277
AGUS HARYANTO,Production of hydrogen by steam reforming of glycerin over alumina-supported metal catalysts,244
AGUS HARYANTO,Hydrogen production from glycerol: An update,241
AGUS HARYANTO,Hydrogen production from glycerin by steam reforming over nickel catalysts,227
AGUS HARYANTO,Conversion of glycerol to hydrogen via a steam reforming process over nickel catalysts,176
AGUS HARYANTO,A comparative thermodynamic and experimental analysis on hydrogen production by steam reforming of glycerin,149
AGUS HARYANTO,Upgrading of syngas derived from biomass gasification: A thermodynamic analysis,71
AGUS HARYANTO,Ultrahigh temperature water gas shift catalysts to increase hydrogen yield from biomass gasification,54
AGUS HARYANTO,Kinetics and reactor modeling of hydrogen production from glycerol via steam reforming process over Ni/CeO2 catalysts,52
AGUS HARYANTO,Hydrogen production through the water− gas shift reaction: thermodynamic equilibrium versus experimental results over supported Ni catalysts,50
AGUS HARYANTO,Co-gasification of hardwood chips and crude glycerol in a pilot scale downdraft gasifier,48
AGUS HARYANTO,Glycerin steam reforming for hydrogen production,15
AGUS HARYANTO,Palm oil mill effluent treatment and utilization to ensure the sustainability of palm oil industries,11
AGUS HARYANTO,Sustainability assesment of biomass utilization for bioenergy case study in Lampung Indonesia,10
AGUS HARYANTO,Economic benefit and greenhouse gas emission reduction potential of a family-scale cowdung anaerobic biogas digester,5
AGUS HARYANTO,Toward Revitalization of Biomass Gasification Technology,4
AGUS HARYANTO,"Effect of Stove types on in-kitchen air quality: case study at way Isem Village, Lampung Province, Indonesia",3
AGUS HARYANTO,Valuable products of glycerin gasification under sub-and supercritical water treatment,3
AGUS HARYANTO,Produksi Biogas dari Rumput Gajah (Pennisetum Purpureum) Melalui Proses Fermentasi Kering,2
Ag. Bambang Setiyadi,Metode penelitian untuk pengajaran bahasa asing: Pendekatan kuantitatif dan kualitatif,317
Ag. Bambang Setiyadi,Teaching English as foreign language,268
Ag. Bambang Setiyadi,Penelitian dalam pengajaran bahasa asing,11
Ag. Bambang Setiyadi,A survey of language learning strategies in a tertiary EFL in Indonesia,11
Ag. Bambang Setiyadi,Penelitian Tindakan untuk Guru dan Mahasiswa,10
Ag. Bambang Setiyadi,English learning strategies in an EFL setting in Indonesia,8
Ag. Bambang Setiyadi,Language Learning Strategies: Classification and Pedagogical Implication,7
Ag. Bambang Setiyadi,Skill-based Categories: An Alternative of Language Learning Strategy Measurement,5
Ag. Bambang Setiyadi,Mahpul.(2016). How Successful Learners Employ Learning Strategies in an EFL Setting in the Indonesian Context,5
Ag. Bambang Setiyadi,Tefl 1,3
Ag. Bambang Setiyadi,Teaching writing,3
Ag. Bambang Setiyadi,Redesigning Language Learning Strategy Classifications,3
Ag. Bambang Setiyadi,"Language Attitude and Motivation of the Islamic School Students: How do Madrasa Students of the Academic Year 2013 -2014 in Indonesia Perceive English, English Teaching and …",2
Ag. Bambang Setiyadi,A comparative study between introvert and extrovert students personality in listening achievement,2
Ag. Bambang Setiyadi,Teaching English for Learner 2,2
Ag. Bambang Setiyadi,"B. Mahpul, Sukamto and Sukirlan. 2007",2
Ag. Bambang Setiyadi,Attitude and Motivation in Learning a Local Language,1
Ag. Bambang Setiyadi,Identifying learning strategies between successful and unsuccessful learners in reading comprehension,1
Ag. Bambang Setiyadi,The Difference Between Successful And Unsuccessful Learners In English Listening's Learning Strategies,1
Ag. Bambang Setiyadi,THE IMPLEMENTATION OF “POWER TEACHING” APPROACH IN INCREASING STUDENTS’SPEAKING PARTICIPATION,1
YUL MARTIN,Observation of Two-Neutrino Double-Beta Decay in ,206
ABDUL SYANI,"Sosiologi Skematika, Teori dan Terapan",197
Nova Mardiana,Pengaruh Struktur Kepemilikan Terhadap Keputusan Keuangan dan Nilai Perusahaan Survey pada Perusahaan Manufaktur di PT. Bursa Efek Indonesia,200
F.X. Susilo,"Termite assemblage collapse along a land‐use intensification gradient in lowland central Sumatra, Indonesia",202
Abdul Kadir Salam,The pH dependence of free ionic activities and total dissolved concentrations of copper and cadmium in soil solution,131
Jamalam Lumbanraja,"Deterioration of soil fertility by land use changes in South Sumatra, Indonesia: from 1970 to 1990",58
I GEDE AB WIRANATA,Membedah hukum progresif,328
Prof. Dr. Ahmad Saudi Samosir,A review of maximum power point tracking algorithms for wind energy systems,361
YUL MARTIN,Observation of single collisionally cooled trapped ions in a buffer gas,36
YUL MARTIN,Detection of SF,22
YUL MARTIN,A linear RFQ ion trap for the Enriched Xenon Observatory,19
YUL MARTIN,A liquid xenon ionization chamber in an all-fluoropolymer vessel,9
YUL MARTIN,Nano Lett.,6
YUL MARTIN,Separation and enrichment of semiconducting carbon nanotubes and its application to highly sensitive carbon nanotube gas sensor,4
YUL MARTIN,Perbaikan Tahanan Pentanahan dengan Menggunakan Bentonit Teraktivasi,3
YUL MARTIN,Dielectrophoretic assembly of semiconducting carbon nanotubes separated and enriched by spin column chromatography and its application to gas sensing,3
YUL MARTIN,Identification of DC corona generating SF 6 decomposition gases adsorbed on CNT gas sensor using FTIR spectroscopy,3
YUL MARTIN,Pengaruh Penambahan Asam Sulfat (H2SO4) pada Bentonit untuk Penurunan Nilai Tahanan Pentanahan,2
YUL MARTIN,Analisa Harmonisa Akibat Pengaruh Penggunaan Converter pada Kereta Rel Listrik 1x25 kV Jogyakarta-Solo,1
YUL MARTIN,Detection of SF 6 decomposition gases generated by HVDC partial discharges using carbon nanotube gas sensor,1
YUL MARTIN,Mesin Pembuat Es Puter Elektrik untuk Home Industry di Wilayah Rajabasa Bandar Lampung,"(None,)"
YUL MARTIN,Simulasi Tegangan Lebih Akibat Sambaran Petir terhadap Penentuan Jarak Maksimum untuk Perlindungan Peralatan pada Gardu Induk,"(None,)"
ABDUL SYANI,Sosiologi dan perubahan masyarakat: suatu interpretasi kearah realitas sosial,69
ABDUL SYANI,Sosiologi Kriminalitas,33
ABDUL SYANI,Manajemen organisasi,31
ABDUL SYANI,"Sosiologi: skematika, teori dan terapan",22
ABDUL SYANI,Pengantar metode statistik nonparametrik,12
ABDUL SYANI,Sosiologi Kriminologi,12
ABDUL SYANI,Kejahatan Dan Penyimpangan Suatu Prespektif Kriminologi,6
ABDUL SYANI,"Faktor Penyebab, Dampak dan Strategi Penyelesaian Konflik antar Warga di Kecamatan Way Panji Kabupaten Lampung Selatan",4
ABDUL SYANI,FAKTOR PENYEBAB TERJADINYA GELANDANGAN DAN PENGEMIS (Studi Pada Gelandangan dan Pengemis Di Kecamatan Tanjung Karang Pusat Kota Bandar Lampung),3
ABDUL SYANI,Good Governance Dalam Era Otonami Daerah,2
ABDUL SYANI,Sosiologi Suatu Skematika Teori dan Terapan,2
ABDUL SYANI,"Masyarakat, Dinamika Kelompok dan Implikasi Kebudayaan dalam Pembangunan",1
ABDUL SYANI,Latar Belakang Perilaku Seks Bebas dan Perkembangannya dalam Pola kehidupan Masyarakat,1
ABDUL SYANI,Sosio0logi Skematika,1
ABDUL SYANI,Pengantar Metode Statistik,1
ABDUL SYANI,FAKTOR-FAKTOR PENYEBAB DAN DAMPAK SESEORANG BERMAIN JUDI TOGEL (TOTO GELAP),1
ABDUL SYANI,STRATEGI DAN PENDEKATAN NILAI KEARIFAN LOKAL LAMPUNG DALAM PEMELIHARAAN KETENTERAMAN DAN KETERTIBAN MASYARAKAT DESA,"(None,)"
Nova Mardiana,Pengaruh Keputusan Keuangan dan Kepemilikan Institusional terhadap Nilai Perusahaan (Studi Kasus Pada Perusahaan Manufaktur Yang Listing di BEJ),39
Nova Mardiana,"Struktur Kepemilikan, Keputusan Keuangan dan Nilai Perusahaan",37
Nova Mardiana,Penyusunan anggaran perusahaan,36
Nova Mardiana,BANKING; ACCORDING TO ISLAMIC SYARIA CONCEPTS AND ITS PERFORMANCE IN INDONESIA,31
Nova Mardiana,Pengaruh Struktur Kepemilikan Terhadap Keputusan Pendanaan (Perspektif Agency Theory),13
Nova Mardiana,Evaluasi kinerja dan prospek reksadana saham syariah dalam pasar modal di Indonesia,11
Nova Mardiana,"Pengaruh Faktor Fundamental, Faktor Ekonomi, dan Risiko Sistematis terhadap Tingkat Pengembalian Saham BEJ",5
Nova Mardiana,"Pengaruh Faktor Fundamental, Indikator Ekonomi Makro, dan Risiko Sistematis Terhadap Tingkat Pengembalian Saham di PT Bursa Efek Jakarta",5
Nova Mardiana,PENGARUH STRUKTUR KEPEMILIKAN TERHADAP KEPUTUSAN PENDANAAN (Perspektif Agency Theory) Survey Pada Perusahaan Manufaktur di PT. Bursa Efek Indonesia,4
Nova Mardiana,Pengaruh Kualitas Pelayanan Terhadap Kepuasan Anggota Perpustakaan Kota Medan,3
Nova Mardiana,the influence of curriculum and lecturers toward Quality of Entrepreneurial Graduates in Bandung,3
Nova Mardiana,Studi Optimalisasi Fasilitas Parkir di Fakultas Keguruan Ilmu Pendidikan (FKIP) Universitas Lampung,2
Nova Mardiana,"Studi Optimalisasi Perparkiran dan Pedestrian di Fakultas Teknik Jurusan Teknik Mesin, Teknik Elektro, Teknik Kimia dan Teknik Geofisika Universitas Lampung",2
Nova Mardiana,Analisis Perbandingan Kinerja Reksa Dana Konvensional dan Reksa Dana Syariah Sebagai Dasar Pengetahuan Bagi Pengambilan Keputusan Investasi di Pasar Modal Indonesia,2
F.X. Susilo,Vegetation indicates diversity of soil macroinvertebrates: a case study with termites along a land-use intensification gradient in lowland Sumatra,65
F.X. Susilo,Macrofauna,33
F.X. Susilo,Belowground biodiversity assessment: Developing a key functional group approach in best-bet alternatives to slash and burn,25
F.X. Susilo,"Plant functional types and traits as biodiversity indicators for tropical forests: two biogeographically separated case studies including birds, mammals and termites",23
F.X. Susilo,Sampling strategy and design to evaluate below-ground biodiversity,22
F.X. Susilo,Belowground biodiversity and sustainability of complex agroecosystems,20
F.X. Susilo,"Soil Collembola, Acari and other mesofauna–the Berlese method",14
F.X. Susilo,"Soil macrofauna: ground-dwelling ants, termites, other macroarthropods and earthworms",14
F.X. Susilo,Methods For Assessment of Below-Ground Biodiversity In Indonesia,12
F.X. Susilo,Estratégia e modelo de amostragem para avaliar a biodiversidade do solo,4
F.X. Susilo,"Collembola, acari y otra mesofauna del suelo: el método Berlese",2
F.X. Susilo,"Collembola, Acari e outros grupos da mesofauna do solo–O método de Berlese",2
F.X. Susilo,Conservation and sustainable management of belowground biodiversity in Indonesia in the context of the global CSM-BGBD project,2
F.X. Susilo,"Species richness, functional diversity and relative abundance of termites under different land use regimes",2
F.X. Susilo,Impact of Tropical Rain Forest Conversion on the Diversity and Abundance of Termites in Jambi Province (Dampak Konversi Hutan Tropika Basah Terhadap Keragaman Jenis Dan …,"(None,)"
F.X. Susilo,"Bandar Lampung, 8-9 Mei 1995","(None,)"
F.X. Susilo,Diseño y estrategias de muestreo para la evaluación de la biodiversidad del suelo,"(None,)"
F.X. Susilo,TOWARD SUSTAINABLE AGRICULTURE IN HUMID TROPICS FACING 2 1st CENTURY,"(None,)"
F.X. Susilo,"David E. Bignell, Reginaldo Constantino, Csaba Csuzdi, Agus Karyanto, Souleymane Konaté, Julio Louzada","(None,)"
Abdul Kadir Salam,"Activities of some soil enzymes in different land use systems after deforestation in hilly areas of West Lampung, South Sumatra, Indonesia",78
Abdul Kadir Salam,"Land use and cover changes in a hilly area of South Sumatra, Indonesia (from 1970 to 1990)",29
Abdul Kadir Salam,"Activities of soil enzymes in different land-use systems in middle terrace areas of Lampung Province, South Sumatra, Indonesia",18
Abdul Kadir Salam,"Measurement and behavior of indigenous levels of the free-hydrated cations of Cu, Zn and Cd in the soil water system",17
Abdul Kadir Salam,Ilmu Tanah Fundamental,8
Abdul Kadir Salam,"Soil enzymatic activities in a hilly coffee plantation in Lampung Province, South Sumatra, Indonesia, under plant cover management",6
Abdul Kadir Salam,"M. Kimura. 1997. Land Use and Cover Changes in a Hilly Area of South Sumatra, Indonesia (from 1970-1990)",5
Abdul Kadir Salam,"Control of Indigenous levels of Cadmium, Copper, and Zinc Ion Activities in Soil Solution",4
Abdul Kadir Salam,"Activities of soil enzymes in fields continuously cultivated with cassava, sugarcane, and pineapple in middle terrace areas of Lampung Province, South Sumatra, Indonesia",3
Jamalam Lumbanraja,Effect of intermittent irrigation on methane emission from an Indonesian paddy field,44
Jamalam Lumbanraja,Methane emission from an Indonesian paddy field subjected to several fertilizer treatments,38
Jamalam Lumbanraja,Three-year measurement of methane emission from an Indonesian paddy field,33
Jamalam Lumbanraja,"Land use and cover changes in a hilly area of South Sumatra, Indonesia (from 1970 to 1990)",29
Jamalam Lumbanraja,Soil chemical properties of an Indonesian red acid soil as affected by land use and crop management,18
Jamalam Lumbanraja,"Sarno and M. Kimura. 1999. Deterioration of Soil Fertility from Land-Use Changes in South Sumatra, Indonesia (1970-1990)",17
Jamalam Lumbanraja,M.(1994). Methane emission from an Indonesian paddy fields subjected to several fertilizers treatments,15
Jamalam Lumbanraja,Effect of rice variety on methane emission from an Indonesian paddy field,14
Jamalam Lumbanraja,Effect of weed management in coffee plantation on soil chemical properties,10
Jamalam Lumbanraja,Methane emission from an Indonesian rainfed paddy field,9
Jamalam Lumbanraja,Inoculation effect of N2-Fixer and P-solubilizer into a mixture of fresh manure and phosphate rock formulated as organonitrofos fertilizer on bacterial and fungal populations,8
Jamalam Lumbanraja,Pengaruh jangka panjang pemberian pupuk organik dan inorganik serta kombinasinya terhadap perbaikan tanah masam Taman Bogo. J,7
Jamalam Lumbanraja,"Methane emission from Indonesian rice fields with special references to the effects of yearly and seasonal variations, rice variety, soil type and water management",7
Jamalam Lumbanraja,"H., and Kimura, M. 1996: Three-year measurement of methane emission from an Indonesian paddy field",6
Jamalam Lumbanraja,"Uji Efektivitas Pupuk Organonitrofos dan Kombinasinya Dengan Pupuk Anorganik terhadap Pertumbuhan, Serapan Hara dan Produksi Tanaman Mentimun (Cucumis Sativus L.) pada Musim …",5
Jamalam Lumbanraja,Optimum Ratio of Fresh Manure and Grain Size of Phosphate Rock Mixture in a Formulated Compost for Organomineral NP Fertilizer,5
Jamalam Lumbanraja,"M. Kimura. 1997. Land Use and Cover Changes in a Hilly Area of South Sumatra, Indonesia (from 1970-1990)",5
Jamalam Lumbanraja,"Uji Efektifitas Pupuk Organonitrofos Dan Kombinasinya Dengan Pupuk Kimia Terhadap Pertumbuhan, Serapan Hara Dan Produksi Tanaman Kedelai (Glycine Max L. Merr) Pada Musim Tanam …",3
Jamalam Lumbanraja,"Effect of land degradation on soil microbial biomass in a hilly area of south Sumatra, Indonesia",3
I GEDE AB WIRANATA,Hukum Adat Indonesia Perkembangan dari Masa ke Masa,60
I GEDE AB WIRANATA,Antropologi Budaya,37
I GEDE AB WIRANATA,Dasar-dasar etika dan moralitas (pengantar kajian etika profesi hukum),23
I GEDE AB WIRANATA,Hukum Adat Indonesia,20
I GEDE AB WIRANATA,Etika Bisnis&Hukum Bisnis(Sebuah Pemikiran Awal),3
I GEDE AB WIRANATA,Reorientasi Terhadap Tanah Sebagai Objek Investasi,3
I GEDE AB WIRANATA,Kajian Hukum Penanaman Modal,3
I GEDE AB WIRANATA,Citra Aditya,3
Prof. Dr. Ahmad Saudi Samosir,Implementation of dynamic evolution control of bidirectional DC-DC converter for interfacing ultracapacitor energy storage to fuel-cell system,116
Prof. Dr. Ahmad Saudi Samosir,Modeling and simulation based approach of photovoltaic system in simulink model,63
Prof. Dr. Ahmad Saudi Samosir,Dynamic evolution control of bidirectional DC-DC converter for interfacing ultracapacitor energy storage to Fuel Cell Electric Vehicle system,39
Prof. Dr. Ahmad Saudi Samosir,A new topology-Reversing Voltage (RV)-for multi level inverters,34
Prof. Dr. Ahmad Saudi Samosir,Simulation and implementation of interleaved boost DC-DC converter for fuel cell application,32
Prof. Dr. Ahmad Saudi Samosir,"Modeling and simulation of a solar photovoltaic system, its dynamics and transient characteristics in LABVIEW",31
Prof. Dr. Ahmad Saudi Samosir,"Dynamic evolution control for synchronous buck DC–DC converter: Theory, model and simulation",29
Prof. Dr. Ahmad Saudi Samosir,Modelling and simulation of maximum power point tracking of photovoltaic system in Simulink model,24
Prof. Dr. Ahmad Saudi Samosir,Dynamic evolution control of interleaved boost dc-dc converter for Fuel Cell application,20
Prof. Dr. Ahmad Saudi Samosir,"A new approach of modelling, simulation of mppt for photovoltaic system in simulink model",19
Prof. Dr. Ahmad Saudi Samosir,Control of a bidirectional converter to interface ultracapacitor with renewable energy sources,19
Caswita Wita,Pengaruh Metode Socrates terhadap Kemampuan dan Disposisi Berpikir Kritis Matematis Siswa SMA,45
rangga firdaus,Manajemen Perkreditan Bank Umum,227
Gusri AKHYAR IBRAHIM,Surface integrity of Inconel 718 when finish turning with PVD coated carbide tool under MQL,56
Zainal Abidin,Effects of treatment of barley straw with anhydrous ammonia and supplementation with heat-treated protein meals on feed intake and liveweight performance of growing lambs,61
NETTI HERAWATI,"Cadmium, copper, and zinc levels in rice and soil of Japan, Indonesia, and China by soil type",146
ARI NURWENI,The English vocabulary knowledge of Indonesian university students,233
SINDUNG HARYANTO,Spektrum Teori Sosial Dari Klasik Hingga Postmodern,118
Buhani,Gambier extracts as an inhibitor of calcium carbonate (CaCO 3) scale formation,57
YUL MARTIN,Analisis Perbandingan Shielding Gardu Induk Menggunakan Model Electrogeometric,"(None,)"
YUL MARTIN,SF6 ガス中インパルス絶縁破壊放電に対するカーボンナノチューブガスセンサの応答,"(None,)"
YUL MARTIN,Penentuan Kapasitas Arus Surja Alat Proteksi Petir (SPDs) Yang Dibutuhkan Sebuah Gedung Yang Tersambar Petir Secara Langsung,"(None,)"
YUL MARTIN,Application of carbon nanotube gas sensor to partial discharges detection for gas-insulated switchgear diagnosis,"(None,)"
YUL MARTIN,Response of a carbon nanotube gas sensor to impulse discharges in SF 6 gas,"(None,)"
ABDUL SYANI,Peranan Guru Sekolah Dalam Mencegah Terjadinya Tawuran Dikalangan Pelajar (Studi di SMA Perintis 1 Bandar Lampung),"(None,)"
ABDUL SYANI,Faktor-Faktor Penyebab Dan Dampak Seseorang Bermain Judi Togel (Toto Gelap)(Studi di Desa Bengkulu Rejo Kecamatan Gunung Labuhan Kabupaten Way Kanan),"(None,)"
Nova Mardiana,"Kepuasan Kerja: Konsep, Teori, Pendekatan dan Skala Pengukurannya",2
Nova Mardiana,Studi Kebutuhan Hotmix di Provinsi Lampung,1
Nova Mardiana,Which Is Better: Homoskedastis Or Heteroskedastis Volatility Model For Option Pricing?(Test Of Black-Scholes Option Model And Garch Option Model At The Indonesian Stock Exchange),1
Nova Mardiana,Pengujian Garch Option Model untuk Barrier Option di Bursa Efek Indonesia,1
Nova Mardiana,Peranan Manajemen Kontribusi dalam Modal Intelektual Sumber Daya Manusia Untuk Menjadi Juara,1
Abdul Kadir Salam,Status kesuburan tanah dalam pertanaman singkong (Manihot esculenta Crantz) di Gunung Batin Lampung Utara: 1. Tingkat ketersediaan unsur hara,3
Abdul Kadir Salam,Effects of land-use system and land-use change on soil enzymatic activities,2
Abdul Kadir Salam,Land use change in a hilly and a middle terrace areas and its impact on soil fertility in South Sumatra,2
Abdul Kadir Salam,Management of Heavy Metals in Tropical Soil Environment,1
Abdul Kadir Salam,Penentuan Dosis Dan Ukuran Butir Pupuk Fosfat Super Terbaik Untuk Mendukung Pertumbuhan Dan Serapan P Tanaman Kedelai (Glycine Max [l.] Merril),1
Abdul Kadir Salam,Penurunan aktivitas fosfatase asam di daerah perakaran beberapa jenis tanaman akibat perlakuan kapur dan limbah industri bertimah hitam,1
Abdul Kadir Salam,The DTPA-extractable heavy metals in tropical soils treated with lime materials,1
Abdul Kadir Salam,Tropical Soil Labile Fractions of Copper in the Experimental Plots±Ten Years after Application of Copper-Containing-Waste,"(None,)"
Abdul Kadir Salam,Pengaruh Sistem Olah Tanah Dan Aplikasi Herbisida Terhadap Beberapa Sifat Kimia Tanah Pada Tanah Ultisol Di Pertanaman Ubi Kayu (manihot Esculenta Crantz),"(None,)"
I GEDE AB WIRANATA,I. Dasar-Dasar Etika dan Moralitas,3
I GEDE AB WIRANATA,Gede AB 2002,3
I GEDE AB WIRANATA,Hukum Adat di Persimpangan,2
I GEDE AB WIRANATA,"Membedah Hukum Progresif, editor Gede Wiranata, et. al",2
I GEDE AB WIRANATA,Reorientasi Terhadap Struktur Tanah Sebagai Obyek Investasi,2
I GEDE AB WIRANATA,Membedah Hukum Progresif,2
I GEDE AB WIRANATA,"Masyarakat, Budaya Hukum, dan Kearifan Lokal di Era Globalisasi",1
I GEDE AB WIRANATA,Membedah Hukum Progresif,1
I GEDE AB WIRANATA,URGENSI DAN RELEVANSI PENGATURAN TANAH DALAM KEGIATAN PENANAMAN MODAL/INVESTASI,"(None,)"
I GEDE AB WIRANATA,PEMANFAATAN KREDIT MIKRO UNTUK MENDORONG PERTUMBUHAN USAHA KECIL PERSEORANGAN DI PROVINSI LAMPUNG,"(None,)"
